,user_id,order_date,point,comment,order_no,order_item
78,go,2020년 11월 21일,5,맛있는데 밥이 적어서 간이 세요 추천,9127,비빔명란 가라아케동
79,ki,2020년 11월 21일,5,순위에 자꾸 뜨길래 궁금해서 반신반의로 시켜봤어요 양도 적지도 않고 그냥 먹을만 했음 다만 너무 싱.거웠어욤... 다른분 리뷰도 그러던데 이부분만 개선하면 더 좋을것걑아용,9126,궁중식 순살찜닭
80,ki,2020년 11월 21일,5,순위에 자꾸 뜨길래 궁금해서 반신반의로 시켜봤어요 양도 적지도 않고 그냥 먹을만 했음 다만 너무 싱.거웠어욤... 다른분 리뷰도 그러던데 이부분만 개선하면 더 좋을것걑아용,9126,스프라이트
81,gh,2020년 11월 21일,5,맛있어요!! 잘 먹었습니다,9125,모둠나물 제육비빔밥
82,gh,2020년 11월 21일,5,맛있어요!! 잘 먹었습니다,9125,수원왕갈비 치밥
83,sh,2020년 11월 21일,5,한그릇 뚝딱 잘먹었습니다,9124,비빔명란 가라아케동
84,dn,2020년 11월 21일,5,맥주 한잔하면서 먹기 정말 좋아요,9123,순살 새우치킨 콤보 (소이)
85,sk,2020년 11월 21일,5,꼼ㄷ가르송 저리가라 포장에 멋짐이 폭발하고 음식도 배부르게 잘 먹었으용,9122,두툼한 통등심 가츠동
86,al,2020년 11월 21일,5,혼자 다 먹기에 양 많아요. 찜닭은 처음 먹어봤는데 정말 맛있어요,9121,궁중식 순살찜닭
87,ho,2020년 11월 21일,5,배달 빠르고 언제 먹어도 맛 굿요~,9120,궁중식 순살찜닭
88,po,2020년 11월 21일,5,도착해서 연락을 따로 안주시고 문앞에 놓고 가셨어요ㅠ 그거빼곤 다 좋아요. 자주 시켜먹는 1인용 궁중찜닭!,9119,궁중식 순살찜닭
89,db,2020년 11월 21일,5,항상맛있게먹구있어영,9118,두툼한 통등심 가츠동
90,qo,2020년 11월 21일,5,넘 맛나게잘먹었습니다,9117,두툼한 통등심 가츠동
91,qo,2020년 11월 21일,5,넘 맛나게잘먹었습니다,9117,멘보샤
92,yo,2020년 11월 21일,4,배달은 아주 빠르다! 소스를 넉넉히 달랬는데 물만 탄 건지 전체적으로 간이 싱거웠다 밥이 돈까스보다 더 얇게 깔린 거 같음 두꺼운 축이 그나마 돈까스와 비슷... 다 먹고 나서도 조금 부족하다 싶은 아쉬운 양 예전엔 이보다 만족스러웠던 거 같은데 할인 메뉴여서 그랬나? 배달비가 붙고 나서 오히려 더 퀄리티 있는 한그릇에서 멀어진 기분 7천 원이라면 만족스럽고 1만 원은 아쉬운 맛과 양,9116,두툼한 통등심 가츠동
93,lg,2020년 11월 21일,5,맛있어요. 특히 김치가 아삭아삭 좋았습니다.,9115,매콤대패삼겹덮밥
94,lg,2020년 11월 21일,5,맛있어요. 특히 김치가 아삭아삭 좋았습니다.,9115,생수
95,do,2020년 11월 21일,5,항상 맛나게 잘 먹고 았습니다,9114,소불고기 비빔밥
96,st,2020년 11월 21일,3,"음식에 아주 많이 신경쓴 집 같았어요 찜닭에 밤,대추,은행 이렇게 여러가지 넣어주는집은 처음이였어요 다만 아쉬운점은 맛이 싱겁고 당연이 덜익었다는 점이였습니다 대체적으로 괜찮았습니다",9113,궁중식 순살찜닭
97,No,2020년 11월 21일,5,나시고랭 항상 맛있어요!,9112,씨푸드 나시고랭
98,vn,2020년 11월 21일,5,덕분에 맛있게 한끼 해결했습니다.,9111,순살 새우치킨 콤보 (양념)
99,so,2020년 11월 21일,5,;;;;;;;;;;,9110,두툼한 통등심 가츠동
100,bl,2020년 11월 21일,5,포장이 깔끔합니다~,9109,로스트 치킨과 매콤한 크림리조또
101,ob,2020년 11월 20일,5,이곳이 쉐플리 최고 맛집,9108,두툼한 통등심 가츠동
102,ob,2020년 11월 20일,5,이곳이 쉐플리 최고 맛집,9108,코카콜라 제로
103,ob,2020년 11월 20일,5,이곳이 쉐플리 최고 맛집,9108,로스트 치킨과 매콤한 크림리조또
104,ju,2020년 11월 20일,5,음식은 맛있는데 조리의 질에 편차가 항상 있는거 같아요 오늘은 국물양이 좀 적어서 약간 뻑뻑한 느낌이었어요 그래도 JMT,9107,궁중식 순살찜닭
105,lm,2020년 11월 20일,5,먹다 배터지는줄 알앗네요 보기보다 양이 많아요 맛은 짱이구요!!!,9106,모둠나물 제육비빔밥
106,lm,2020년 11월 20일,5,먹다 배터지는줄 알앗네요 보기보다 양이 많아요 맛은 짱이구요!!!,9106,소불고기 비빔밥
107,lm,2020년 11월 20일,5,먹다 배터지는줄 알앗네요 보기보다 양이 많아요 맛은 짱이구요!!!,9106,궁중식 순살찜닭
108,an,2020년 11월 20일,5,잘먹었습니다 감사합니다,9105,로스트 치킨과 매콤한 크림리조또
109,pt,2020년 11월 20일,5,너무 맛있어요 오자마자 먹느라 먹다만 사진이라도..ㅎㅎ 가지덮밥은 마파두부 비슷한 맛 나요,9104,궁중식 순살찜닭
110,pt,2020년 11월 20일,5,너무 맛있어요 오자마자 먹느라 먹다만 사진이라도..ㅎㅎ 가지덮밥은 마파두부 비슷한 맛 나요,9104,어향가지 덮밥&멘보샤
111,jo,2020년 11월 20일,5,늘 맛있게 먹고있어요~^^,9103,대패삼겹덮밥
112,jc,2020년 11월 20일,4,양이 많아서 좋고 맛있어요!!!!,9102,대패삼겹덮밥
113,jc,2020년 11월 20일,4,양이 많아서 좋고 맛있어요!!!!,9102,수원왕갈비 치밥
114,as,2020년 11월 20일,4,잘먹었습니다....,9101,로스트 치킨과 매콤한 크림리조또
115,fe,2020년 11월 20일,5,비와서 그런지 비닐에 한 번 더 담아주셨어요 맛있고 배부르게 잘 먹었습니다,9100,두툼한 통등심 가츠동
116,ss,2020년 11월 20일,5,"찜닭 너무 맛있어요! 단호박, 대추, 은행, 밤, 버섯 몸에 좋은 재료 듬뿍! 당면과 닭고기도 넉넉해요. 양념이 쫌 덜 달았으면 더 맛있을 것 같아요!! 시저샐러드는 저녁에 먹을거라 아직 :)",9099,궁중식 순살찜닭
117,ss,2020년 11월 20일,5,"찜닭 너무 맛있어요! 단호박, 대추, 은행, 밤, 버섯 몸에 좋은 재료 듬뿍! 당면과 닭고기도 넉넉해요. 양념이 쫌 덜 달았으면 더 맛있을 것 같아요!! 시저샐러드는 저녁에 먹을거라 아직 :)",9099,허니갈릭 닭가슴살 시저샐러드
118,wn,2020년 11월 20일,5,빠르고 맛있었어요 담에 또 간편히 시켜먹을겡ㅎ,9098,두툼한 통등심 가츠동
119,ya,2020년 11월 20일,5,언제 먹어도 실패 없이 먹어서 넘 좋아요,9097,모둠나물 제육비빔밥
120,ek,2020년 11월 19일,5,맛있게 잘 먹었어요,9096,두툼한 통등심 가츠동
121,of,2020년 11월 19일,5,추천했는데 다들 맛있게 드셔서. 모두에게 기쁜 점심식사였어요. 회사에서 일주일에 3번은 주문하는듯,9095,씨푸드 나시고랭
122,of,2020년 11월 19일,5,추천했는데 다들 맛있게 드셔서. 모두에게 기쁜 점심식사였어요. 회사에서 일주일에 3번은 주문하는듯,9095,소불고기 비빔밥
123,of,2020년 11월 19일,5,여기 음식. 모두 맛있는데. 딱 이것만 좀 아니에요튀김옷이 너무 두꺼워요.,9094,허니갈릭 닭가슴살 시저샐러드
124,of,2020년 11월 19일,5,여기 음식. 모두 맛있는데. 딱 이것만 좀 아니에요튀김옷이 너무 두꺼워요.,9094,밥추가
125,of,2020년 11월 19일,5,여기 음식. 모두 맛있는데. 딱 이것만 좀 아니에요튀김옷이 너무 두꺼워요.,9094,순살 새우치킨 콤보 (반반)
126,so,2020년 11월 19일,5,Deliciouss,9093,허니갈릭 닭가슴살 시저샐러드
127,so,2020년 11월 19일,5,Deliciouss,9093,코카콜라 제로
128,so,2020년 11월 19일,5,Deliciouss,9093,수원왕갈비 치밥
129,so,2020년 11월 19일,5,Deliciouss,9093,트러플 감자튀김
130,jp,2020년 11월 19일,5,할인해서 시켰는데 맛있게 먹었습니다!,9092,두툼한 통등심 가츠동
131,jp,2020년 11월 19일,5,할인해서 시켰는데 맛있게 먹었습니다!,9092,계란말이
132,op,2020년 11월 19일,4,매번 맛있게 잘 먹고 있습니다.,9091,두툼한 통등심 가츠동
133,op,2020년 11월 19일,4,매번 맛있게 잘 먹고 있습니다.,9091,된장국추가
134,wl,2020년 11월 19일,5,"오늘은 고기가 중간중간 덜익어서 빨간거 골라내고 먹었어요,,ㅜㅜ",9090,소불고기 비빔밥
135,wl,2020년 11월 19일,5,"오늘은 고기가 중간중간 덜익어서 빨간거 골라내고 먹었어요,,ㅜㅜ",9090,궁중식 순살찜닭
136,sa,2020년 11월 19일,2,리조또..라기보다는 그냥 시리얼먹는 느낌이엇어요 기대많이했는데 너무 아쉽네요,9089,로스트 치킨과 매콤한 크림리조또
137,sa,2020년 11월 19일,2,리조또..라기보다는 그냥 시리얼먹는 느낌이엇어요 기대많이했는데 너무 아쉽네요,9089,코카콜라 제로
138,sa,2020년 11월 19일,2,리조또..라기보다는 그냥 시리얼먹는 느낌이엇어요 기대많이했는데 너무 아쉽네요,9089,생수
139,fl,2020년 11월 19일,5,싸고 맛있고 두툼하게 잘 익었네요,9088,두툼한 통등심 가츠동
140,ji,2020년 11월 19일,5,배달도 빠르고 맛있어요~깔끔하게 오구 요청사항도 잘 들어주셔서 감사해요,9087,씨푸드 나시고랭
141,ji,2020년 11월 19일,5,배달도 빠르고 맛있어요~깔끔하게 오구 요청사항도 잘 들어주셔서 감사해요,9087,멘보샤
142,he,2020년 11월 19일,4,메모로 실컷 써놓으면 뭐하나. 놓고가라고해도 굳이 이시기에 꼭 대면해서 줘야하는 이유가 뭔지. 참. 코로나가 한두달 있던 것도 아니고. 아혀.,9086,두툼한 통등심 가츠동
143,ti,2020년 11월 18일,5,맛있게 잘 먹었습니다,9085,대패삼겹덮밥
144,ti,2020년 11월 18일,5,맛있게 잘 먹었습니다,9084,대패삼겹덮밥
145,ti,2020년 11월 18일,5,맛있게 잘 먹었습니다,9083,대패삼겹덮밥
146,bi,2020년 11월 18일,5,<U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>,9082,어향가지 덮밥
147,bi,2020년 11월 18일,5,<U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>,9082,멘보샤
148,pa,2020년 11월 18일,4,가츠동 국물이 배달하는동안 국물에 배여서 짜요. 국물을 따로 준비해서 배달오면 넣어서 먹는게 좋을텐데요,9081,두툼한 통등심 가츠동
149,pa,2020년 11월 18일,1,진심 사진도 찍기싫고 두스푼먹고 다버림.. 무슨 리조또를 보리밥으로하고 크림소스가 이렇게 약한지.. 그냥 보리밥에 국물크림 넣어둔거같은 맛..,9080,로스트 치킨과 매콤한 크림리조또
150,an,2020년 11월 18일,5,잘먹었습니다 감사합니다,9079,로스트 치킨과 매콤한 크림리조또
151,li,2020년 11월 18일,5,맛있어요 잘 먹었어요,9078,두툼한 통등심 가츠동
152,li,2020년 11월 18일,5,맛있어요 잘 먹었어요,9078,트러플 감자튀김
153,pr,2020년 11월 18일,3,맛이 예전만 못해서 좀 아쉬워요,9077,궁중식 순살찜닭
154,hy,2020년 11월 18일,4,"비빔밥은 괜찮은데.. 사이드로 온 김치랑, 국은 별로네요ㅠㅠ",9076,소불고기 비빔밥
155,ki,2020년 11월 18일,5,마신ㅅ엇엉요 ㅠㅠㅠ,9075,허니갈릭 닭가슴살 시저샐러드
156,cw,2020년 11월 18일,5,맛있게 잘먹었습니다,9074,대패삼겹덮밥
157,hj,2020년 11월 18일,4,맛있어요. 양도 많고 가끔 생각나서 배달시켜요~^^,9073,씨푸드 나시고랭
158,hj,2020년 11월 18일,4,맛있어요. 양도 많고 가끔 생각나서 배달시켜요~^^,9073,두툼한 통등심 가츠동
159,ba,2020년 11월 18일,5,맛났습니다 궈봐로우~~~,9072,비빔명란 가라아케동
160,wl,2020년 11월 17일,5,이제 할인 안해서 아쉬워요ㅠㅜㅜ 명란이랑 가라아게랑 너무 잘 어울려요,9071,비빔명란 가라아케동
161,js,2020년 11월 17일,5,언제나 훌륭해요 잘먹었어요,9070,비빔명란 가라아케동
162,js,2020년 11월 17일,5,언제나 훌륭해요 잘먹었어요,9070,계란말이
163,bn,2020년 11월 17일,5,가격이 좀 비싼것만빼면 나무랄데가없는곳이에여,9069,대패삼겹덮밥
164,bn,2020년 11월 17일,5,가격이 좀 비싼것만빼면 나무랄데가없는곳이에여,9069,어향가지 덮밥
165,bn,2020년 11월 17일,5,가격이 좀 비싼것만빼면 나무랄데가없는곳이에여,9069,계란말이
166,su,2020년 11월 16일,5,이벤트하길래 먹어봣어요! 맛있어요!,9068,비빔명란 가라아케동
167,su,2020년 11월 16일,5,언제먹어도 맛있어요!,9067,로스트 치킨과 매콤한 크림리조또
168,ls,2020년 11월 16일,5,"리조또 양이 은근많아요! 다른리조또보다 씹히는 식감이 좋았고 로스트치킨까지 있어서 든든하게 먹었네요. 소스가 약간 묽은 느낌이라 아쉬움은 있었지만 그래도 전반적으로 맛있었어요. 좀더 매콤해도 좋을듯해요! 멘보샤는 아는맛이지만 바삭바삭하니 맛있었구요, 소스랑 할라피뇨 넉넉히 주셔서 감사합니다~",9066,로스트 치킨과 매콤한 크림리조또
169,ls,2020년 11월 16일,5,"리조또 양이 은근많아요! 다른리조또보다 씹히는 식감이 좋았고 로스트치킨까지 있어서 든든하게 먹었네요. 소스가 약간 묽은 느낌이라 아쉬움은 있었지만 그래도 전반적으로 맛있었어요. 좀더 매콤해도 좋을듯해요! 멘보샤는 아는맛이지만 바삭바삭하니 맛있었구요, 소스랑 할라피뇨 넉넉히 주셔서 감사합니다~",9066,멘보샤
170,ks,2020년 11월 16일,4,처음 주문 했는데 괜찮네요,9065,매콤대패삼겹덮밥
171,ks,2020년 11월 16일,4,처음 주문 했는데 괜찮네요,9065,명란마요밥
172,ks,2020년 11월 16일,4,처음 주문 했는데 괜찮네요,9065,계란말이
173,ks,2020년 11월 16일,4,처음 주문 했는데 괜찮네요,9065,코카콜라
174,ks,2020년 11월 16일,4,처음 주문 했는데 괜찮네요,9065,밥추가
175,st,2020년 11월 16일,3,"리조또는 치즈향 되게 강해서 호불호 클 것 같고, 찜닭은 양념이 심심했어요. 그래도 재료는 싱싱하고 전체적인 밸런스는 좋았단 것 같아요~",9064,궁중식 순살찜닭
176,st,2020년 11월 16일,3,"리조또는 치즈향 되게 강해서 호불호 클 것 같고, 찜닭은 양념이 심심했어요. 그래도 재료는 싱싱하고 전체적인 밸런스는 좋았단 것 같아요~",9064,로스트 치킨과 매콤한 크림리조또
177,st,2020년 11월 16일,3,"리조또는 치즈향 되게 강해서 호불호 클 것 같고, 찜닭은 양념이 심심했어요. 그래도 재료는 싱싱하고 전체적인 밸런스는 좋았단 것 같아요~",9064,멘보샤
178,yu,2020년 11월 16일,1,"평소에 맛있게 먹던 카츠동인데, 오늘 카츠가 너무 맛없음. 미리 튀겨놓은거 쓴게 보임. 눅눅하고 기름냄새 올라옴. 식감 ㅠ",9063,두툼한 통등심 가츠동
179,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,씨푸드 나시고랭
180,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,명란마요 가라아게
181,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,계란말이
182,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,그라나파다노 김치볶음밥
183,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,명란마요 가라아게
184,10,2020년 11월 16일,5,너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ,9062,계란말이
185,id,2020년 11월 16일,4,맛나요~~드셔보세요ㅎ,9061,비빔명란 가라아케동
186,id,2020년 11월 16일,4,맛나요~~드셔보세요ㅎ,9061,궁중식 순살찜닭
187,id,2020년 11월 16일,4,맛나요~~드셔보세요ㅎ,9061,계란말이
188,id,2020년 11월 16일,4,맛나요~~드셔보세요ㅎ,9061,수원왕갈비 치밥
189,fl,2020년 11월 16일,5,셰플리 원래 좋아해요 리조또는 첨 먹어보는데 역시 맛있네요,9060,로스트 치킨과 매콤한 크림리조또
190,dd,2020년 11월 16일,5,배달도 빠르고 맛도있었어요 밥도 양이많아요,9059,비빔명란 가라아케동
191,dd,2020년 11월 16일,5,배달도 빠르고 맛도있었어요 밥도 양이많아요,9059,밥추가
192,dd,2020년 11월 16일,5,배달도 빠르고 맛도있었어요 밥도 양이많아요,9059,순살 새우치킨 콤보 (반반)
